PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
48,2279296598,9.84537,1.685706,-0.345478,-5.296154,-1.332363,0.601352,0.687736,0.031017,-0.718606,-0.098305,9.854853539576517,1.693649331122929,-0.33502486771101103,-3.2317594503301335,-1.4548244404408956,0.9687105023672075
49,2279313265,9.831767,1.704628,-0.470935,-1.482668,-1.557764,0.787687,0.687719,0.031057,-0.718622,-0.098296,9.83968611193852,1.7415818295676262,-0.3371590855663896,-0.5559137927145442,-1.5849392624253529,0.835212893549821
50,2279329932,9.835594,1.801684,-0.249757,4.328245,-1.940124,0.923523,0.687636,0.031658,-0.71876,-0.097669,9.830797722852015,1.812881275465986,-0.31551009037850036,1.6500911585893516,-1.5830421415472369,0.7250458121800873
51,2279346599,9.838881,1.911613,-0.195023,3.674687,-1.113525,0.632525,0.687639,0.032237,-0.718804,-0.097135,9.832441812037766,1.8647979694187584,-0.2876318853574166,2.2793868803555917,-1.4958327300492207,0.5588424055804359
52,2279363266,9.843304,1.902823,-0.29368,-0.798105,-1.477213,0.218534,0.687619,0.032406,-0.718819,-0.097111,9.844472494203597,1.8675019726419544,-0.26815732549320137,1.3846113043570178,-1.4060041568595603,0.28568279500885596
53,2279379933,9.859111,1.791937,-0.315508,-1.298385,-1.096889,0.065204,0.687638,0.032547,-0.718788,-0.097154,9.863004970973678,1.8280341655632746,-0.2555531980956485,0.004035523635964322,-1.3158585892769898,-0.030194239910837417
54,2279396600,9.877687,1.758384,-0.2877,0.76589,-1.327506,-0.287733,0.68762,0.03294,-0.718808,-0.097005,9.880992565660883,1.7836674546630342,-0.24336782792587677,-0.8041286257291361,-1.1369014359546765,-0.24951646002093691
55,2279413267,9.88502,1.773793,-0.167941,-0.145711,-0.951396,-0.52045,0.687646,0.033293,-0.718774,-0.096952,9.890037452131354,1.7710520913526888,-0.234996508807954,-0.7343448218754367,-0.808942628355455,-0.28357101721639966
56,2279429934,9.899185,1.808523,-0.154006,-1.97748,-0.752424,-0.229464,0.687706,0.033448,-0.718696,-0.097049,9.8848001280056,1.7994772270168402,-0.23873890681930535,-0.2620372559107658,-0.4213585761794936,-0.18283178108735104
57,2279446601,9.884952,1.851131,-0.36483,0.610844,0.341872,0.254545,0.687871,0.033802,-0.718549,-0.096845,9.86741893465334,1.8488156222728593,-0.2530067248159572,-0.1466342557447987,-0.1792259547189273,-0.09428691733508762
58,2279463268,9.809738,1.914805,-0.284551,0.174286,0.214718,-0.071118,0.688021,0.034148,-0.718406,-0.096716,9.846870324795294,1.888186852384537,-0.265792345658701,-0.8542662428488867,-0.21776007561688007,-0.11853907921175325
59,2279479935,9.83326,1.854206,-0.204847,-2.796484,-0.917472,-0.314575,0.688064,0.034196,-0.718333,-0.096938,9.832544556639277,1.8970063440762965,-0.26845354919051906,-2.229004574192989,-0.46165990862232176,-0.20989177382685562
60,2279496602,9.84492,1.893951,-0.274078,-4.156878,-1.218896,-0.436799,0.688077,0.034092,-0.718271,-0.097339,9.82829400857949,1.8747428463080005,-0.2634883233515095,-3.6134302301157293,-0.6973875259478208,-0.2266934665105023
61,2279513269,9.847442,1.857156,-0.277325,-4.1521,-0.375098,-0.064595,0.688182,0.033951,-0.718128,-0.097708,9.832600346273779,1.8377110996619581,-0.25823250081785487,-4.3445981313884925,-0.7754596263051384,-0.07845359400856905
62,2279529936,9.816276,1.789374,-0.229938,-4.65598,-0.524689,0.299675,0.688281,0.033746,-0.717993,-0.098069,9.842360617825321,1.807660282562776,-0.255820088615546,-4.220923671109428,-0.7102531155864189,0.1837149181995853
63,2279546603,9.861175,1.782614,-0.282267,-2.692945,-0.508053,0.541766,0.688377,0.033712,-0.717885,-0.0982,9.85429217875532,1.7980657466136591,-0.25391975747541407,-3.5566297079856604,-0.5967946547745803,0.41469785535435105
64,2279563270,9.857912,1.801275,-0.215951,-3.339359,-0.809464,0.310048,0.68844,0.03363,-0.717797,-0.098427,9.863744276004486,1.8061188264929031,-0.2500518806521237,-2.831459542625291,-0.48721684586441066,0.4986091211342637
65,2279579937,9.868273,1.829187,-0.300037,-1.735811,-0.506926,0.54726,0.688532,0.0337,-0.717703,-0.098449,9.865623257150704,1.8180314208840191,-0.246554795328764,-2.2835731240119306,-0.36712420711813365,0.43165028098820185
66,2279596604,9.884857,1.873262,-0.223413,-1.973266,0.333919,0.296537,0.688707,0.033775,-0.71752,-0.098527,9.858545434153594,1.8249943333247125,-0.24948205190971556,-1.7942063530762011,-0.2120180361404755,0.30993491982869514
67,2279613271,9.824956,1.801689,-0.226131,-1.133208,-0.253053,0.230649,0.688815,0.033927,-0.717409,-0.098531,9.847234689562582,1.8340975315141057,-0.261082287697661,-1.1405804323596354,-0.03754104369844599,0.24839969212045293
68,2279629938,9.82063,1.844554,-0.293488,-1.562784,-0.358219,0.204293,0.688919,0.034067,-0.717299,-0.098555,9.83905382294406,1.8604882658303175,-0.27347006230041104,-0.37063242779445327,0.088084386252874,0.29312576142071295
