PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
319,2283830022,9.895394,-0.977148,-0.512791,-2.035633,1.74856,1.492638,0.521205,0.413801,-0.594505,0.451303,9.898211718804465,-0.9668885911875253,-0.5131888889450084,-1.9872013804902928,1.7573348677305138,1.4640437480808681
320,2283846689,9.888073,-0.976473,-0.510269,-1.859405,1.815396,1.371426,0.521189,0.41383,-0.594487,0.451319,9.891129659068401,-0.9767832572225361,-0.5184886051343072,-2.024431427324163,1.7564631993983164,1.4289632074944534
321,2283863356,9.89273,-0.977247,-0.517379,-2.060478,1.708681,1.369556,0.521188,0.413836,-0.594501,0.451296,9.890564913085193,-0.9817219426223915,-0.5234264964627477,-1.9808434233965269,1.7624218998486332,1.3847486783014011
322,2283880023,9.886951,-0.981023,-0.527332,-1.990337,1.767488,1.397295,0.521184,0.413843,-0.594506,0.451287,9.89696441475217,-0.9796933964165206,-0.5261588214315305,-1.8818061480885242,1.7824040331204873,1.3613258483185753
323,2283896690,9.916125,-0.976331,-0.540058,-1.740178,1.869593,1.3364,0.521182,0.413863,-0.594486,0.451298,9.90579814278702,-0.9733683195052114,-0.5240813378592415,-1.7934084198013436,1.8144814386928074,1.3683957315522757
324,2283913357,9.917712,-0.964681,-0.506945,-1.642837,1.803947,1.421511,0.521153,0.413899,-0.594462,0.45133,9.91131667723179,-0.9676632110182455,-0.5170655033074982,-1.7808542317618952,1.8458565510293166,1.392834116286797
325,2283930024,9.901221,-0.969732,-0.509385,-1.910656,1.86584,1.404748,0.521161,0.413892,-0.594463,0.451324,9.910790892734424,-0.9662321040257946,-0.5090353387034826,-1.859787166707186,1.8597526603523746,1.4121310147997623
326,2283946691,9.902918,-0.952761,-0.503075,-2.05241,1.850089,1.390187,0.521172,0.413886,-0.594468,0.451311,9.905716871102436,-0.9689898091541581,-0.5054513096768292,-1.9838201888480127,1.8464303043128392,1.4112428357758102
327,2283963358,9.909698,-0.989926,-0.514093,-2.127788,1.830571,1.444857,0.521217,0.413824,-0.594517,0.451253,9.899841057270422,-0.9725586127720696,-0.5089314458874901,-2.0819116505125765,1.8119880596845181,1.39270358917162
328,2283980025,9.886382,-0.976258,-0.505818,-2.010764,1.794189,1.34379,0.521232,0.413816,-0.594529,0.451226,9.896506530334214,-0.9735734090744885,-0.5170377496867,-2.1086981085352385,1.778258644119229,1.375107800712125
329,2283996692,9.906069,-0.964185,-0.527685,-2.024761,1.711703,1.351204,0.521223,0.413836,-0.594532,0.451215,9.89716229136781,-0.971798060669256,-0.5242014796954066,-2.06583654284237,1.7701170595331557,1.3808403373989628
330,2284013359,9.895915,-0.968208,-0.546358,-2.136035,1.800746,1.464092,0.521225,0.413825,-0.594547,0.451201,9.901080258190166,-0.9698417168555176,-0.5263244442130275,-1.9908242900419655,1.7972872572836458,1.4206644948266636
331,2284030026,9.902452,-0.967344,-0.509189,-1.903831,1.877968,1.47955,0.521258,0.413773,-0.59458,0.451168,9.90588564593615,-0.9700344006414833,-0.5239731368200855,-1.932212069997044,1.8465189741078145,1.4854977816817887
332,2284046693,9.916253,-0.981989,-0.515112,-1.804773,1.903722,1.508108,0.521276,0.413737,-0.594596,0.451158,9.90886208708828,-0.9720757426209994,-0.5208456895424032,-1.921788953569926,1.8920303816511215,1.5504554524147602
333,2284063360,9.906849,-0.966269,-0.515433,-1.954428,1.903337,1.613683,0.521279,0.413705,-0.594612,0.451165,9.90865280016516,-0.9736203016264119,-0.519126964014328,-1.9534112792447949,1.9137928639684152,1.5889270743010224
334,2284080027,9.909263,-0.974803,-0.529441,-2.110666,1.863855,1.630485,0.521287,0.41366,-0.594643,0.451154,9.906153412640462,-0.9725985913779096,-0.5172529107349969,-1.9883039956758162,1.9074388892551326,1.589754342515428
335,2284096694,9.890656,-0.968954,-0.512756,-1.960819,1.946802,1.565608,0.521295,0.413631,-0.594651,0.451162,9.903686729534902,-0.9689959144396825,-0.5128012954463415,-1.9903951029165203,1.8817212213994625,1.5660658277866633
336,2284113361,9.915211,-0.969885,-0.508198,-1.957067,1.821505,1.478026,0.521301,0.413614,-0.594666,0.451151,9.903221113540823,-0.9649707480158262,-0.5068518953722395,-1.9594779084126466,1.850693712562639,1.5456291398199427
337,2284130028,9.908052,-0.955669,-0.498549,-1.880113,1.813053,1.559218,0.521283,0.413612,-0.59467,0.451167,9.905222448425496,-0.9634090499504043,-0.5043855526383048,-1.927546893221179,1.8266372367867214,1.5480274874014843
338,2284146695,9.89616,-0.965033,-0.508019,-1.957515,1.814871,1.604591,0.521279,0.413586,-0.594692,0.451167,9.908583708237389,-0.9658694336756795,-0.509909897912187,-1.9230995178993042,1.8156043010253886,1.5694458558647122
339,2284163362,9.915484,-0.978899,-0.525315,-1.88343,1.858528,1.593526,0.521307,0.41352,-0.594736,0.451137,9.911123134626106,-0.9714973580129554,-0.5226205855568878,-1.9403097389531796,1.817058963573589,1.5885800841343154
340,2284180029,9.91654,-0.970379,-0.530887,-1.967363,1.794445,1.567696,0.521297,0.413507,-0.594752,0.45114,9.91064783082791,-0.9778611049753563,-0.5358326769722875,-1.9421974230950632,1.8269529391703765,1.5846103450760372
341,2284196696,9.902768,-0.990881,-0.543707,-1.987469,1.831404,1.543876,0.521279,0.413509,-0.594752,0.451158,9.906548081665669,-0.9828241785864984,-0.5416075862248039,-1.8939045362247837,1.8402312117972275,1.5495504899758596
342,2284213363,9.901124,-0.985314,-0.555443,-1.750218,1.867172,1.491818,0.521262,0.413522,-0.594738,0.451186,9.900687229875654,-0.9855403165056574,-0.5370309095699891,-1.7949566544199538,1.8512917887368132,1.4895227167989729
343,2284230030,9.897454,-0.976002,-0.51269,-1.604572,1.85685,1.409614,0.521245,0.413547,-0.594714,0.451213,9.89635637968374,-0.985754289649303,-0.5266846889346162,-1.681400839381645,1.8555381450338149,1.421687190034201
344,2284246697,9.891609,-0.982375,-0.510889,-1.607722,1.833748,1.418655,0.521203,0.413603,-0.594671,0.451266,9.895896058621501,-0.982773719477739,-0.5185720240014416,-1.6000448775922946,1.8530618983449971,1.3710435796940739
345,2284263364,9.898886,-0.98541,-0.516792,-1.666926,1.916272,1.369466,0.521206,0.413612,-0.594653,0.451278,9.898966175053957,-0.9761942077823124,-0.5169505153038192,-1.582739833545689,1.849830135683675,1.3622476102243752
346,2284280031,9.910021,-0.973258,-0.523298,-1.685393,1.775453,1.327884,0.521199,0.413634,-0.594643,0.45128,9.902880930524704,-0.9680631165509288,-0.5191318813272653,-1.6366319743856954,1.8520688677930586,1.4026232189688828
