PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
890,2704221763,9.120438,-1.645304,0.0291,-12.472236,3.31549,-53.281471,0.573798,0.434406,-0.558032,0.413101,9.078207911843386,-1.4294653261535908,0.18867654299878625,-11.541815711091878,2.1215136286650873,-51.38018280784576
891,2704238430,9.728598,-1.312906,0.367284,-0.325655,2.764775,-43.349133,0.576698,0.437859,-0.554791,0.409768,9.60804282622166,-1.2887230129164344,0.3420106055832214,-5.898541297539447,3.3872641363500637,-43.00581150545695
892,2704255097,10.133466,-1.242876,0.542786,2.742176,7.100419,-34.390869,0.579202,0.440579,-0.55155,0.407692,9.909133807964684,-0.9513609931136405,0.37410429267265166,0.30438350637575207,5.411053871609134,-34.72444758714493
893,2704271764,9.860724,-0.322924,0.29069,0.678822,6.085088,-26.889112,0.581295,0.442568,-0.548988,0.406013,9.991108711783477,-0.442304096401092,0.28611598905770097,5.7392578385469495,7.206971855664129,-28.167112362769792
894,2704288431,9.660286,0.253791,-0.058863,12.207322,8.772739,-24.667826,0.582721,0.445191,-0.545648,0.405604,9.974660421479307,0.0947309539693987,0.15897771943430408,10.654905012877839,8.276393491271206,-24.576281437995327
895,2704305098,9.929861,0.796581,0.325968,15.493955,7.668381,-23.406015,0.583759,0.448048,-0.54228,0.405483,9.953929347021267,0.5358279574229978,0.10692351799295441,15.720565597687363,8.51980749830117,-23.75009809439587
896,2704321765,10.283916,0.570805,-0.027415,17.232517,6.718598,-24.460159,0.584659,0.451181,-0.538809,0.40534,9.931773861276021,0.8870847705680179,0.20651364955065307,20.648298397732432,7.965681300078691,-24.116066089361304
897,2704338432,10.011552,1.147414,0.6852,29.416737,9.612211,-25.118578,0.585005,0.455214,-0.534317,0.406276,9.878785291772346,1.2456926117016747,0.4539155109699861,24.074951494199883,6.777084180579731,-23.851038105364143
898,2704355099,9.525417,1.653857,0.660163,24.520216,6.17556,-22.061293,0.585209,0.458784,-0.53059,0.40685,9.809745772224197,1.6663770673864327,0.7690156799692127,24.598586277448202,5.456501523867173,-22.107620993083216
899,2704371766,9.559977,2.314776,1.039443,19.578865,2.341999,-18.785183,0.585242,0.461898,-0.527687,0.407054,9.77032769815045,2.084158509551417,1.0297726773469422,21.752402449602293,4.707654630573808,-19.366864338883598
900,2704388433,9.976709,2.241198,1.021347,13.082468,3.016213,-16.34149,0.585611,0.464226,-0.525266,0.407007,9.77100051746821,2.3635039931298447,1.1187537292995708,16.07198840213211,4.781614023138607,-16.696361172523474
901,2704405100,9.964463,2.49935,1.10994,13.143285,7.208877,-13.73871,0.586132,0.466103,-0.522658,0.407468,9.775685282361186,2.4077829602862826,0.9763221081441973,8.633948772809472,4.9956068647645155,-14.621455862640591
902,2704421767,9.704079,2.102702,0.714782,1.866213,5.406479,-12.712654,0.587216,0.467043,-0.520938,0.407034,9.757902047975014,2.2272263301693296,0.6459134576903501,0.8076682470009899,4.173401718794707,-12.628664502835349
903,2704438434,9.481695,1.991894,0.179805,-8.665124,0.875002,-11.540453,0.588603,0.467265,-0.520301,0.405589,9.738167191374746,1.9278283898372601,0.27397599055312755,-5.901806032095159,1.7112686487820612,-9.733705798202987
904,2704455101,9.880754,1.731484,0.044482,-10.318183,-2.209365,-6.051694,0.589543,0.46711,-0.520396,0.404278,9.756033217521107,1.6470643209499711,0.03893511543965883,-10.457406132146225,-1.805645117884105,-5.554457047194511
905,2704471768,9.943502,1.349046,-0.028261,-15.610826,-4.940579,0.622331,0.59024,0.466155,-0.52149,0.402952,9.824288312124944,1.4769546062975354,0.04186170281380601,-12.982942230946081,-5.006880125201488,-0.8445594565563644
906,2704488435,9.809555,1.349014,0.173806,-11.779071,-7.389641,3.828199,0.590301,0.465427,-0.522784,0.402025,9.919867203399967,1.4111181203890868,0.2384446590919268,-14.493040525413765,-6.689583368001356,3.0090043965781916
907,2704505102,9.960234,1.385629,0.653755,-11.307861,-6.063581,4.410183,0.590398,0.464618,-0.523974,0.40127,10.00612254998441,1.3525737358664471,0.47026303556124116,-15.519542062322376,-6.479088590066581,4.986064775744538
908,2704521769,10.190087,1.289347,0.552522,-19.296381,-4.116185,4.242545,0.591187,0.463018,-0.52545,0.400024,10.055569417308496,1.1953129884149467,0.5758518377686415,-15.024946072351076,-4.806073502640108,5.007569769200991
909,2704538436,10.007474,1.0238,0.478711,-10.681692,-2.440072,3.849751,0.591543,0.462087,-0.526256,0.399516,10.060329190200486,0.9304008729985009,0.4973952319219169,-11.048370464024632,-2.443179737717273,3.7553171176531652
910,2704555103,9.962655,0.649075,0.336506,-4.452935,-0.868732,2.859178,0.591659,0.461677,-0.526494,0.399502,10.03042294438448,0.6833927524443195,0.30534062219163177,-2.7620560269832355,-0.09357853913749703,2.1347922872918494
