PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
843,2779639938,3.993871,0.171488,1.966253,-38.868465,86.032555,76.346046,0.144166,-0.283774,-0.32111,0.891955,4.528373594705841,0.5807100612646485,1.768881595590119,-39.37759882596548,83.64675550921586,78.60967300029742
844,2779656605,3.992924,-0.220969,1.763728,-80.536667,129.873856,134.966965,0.129503,-0.308375,-0.323379,0.885193,4.323542110818428,0.3140186937145252,1.5867799003679963,-91.83861084220887,131.43509428366573,132.51214641127754
845,2779673272,2.803012,0.845155,0.827581,-128.475113,162.572937,181.925552,0.108027,-0.339912,-0.328698,0.874503,2.749625777552814,0.9401922517871595,0.9823639142987035,-138.6624181940154,166.9460998929489,179.57191574953072
846,2779689939,1.386037,1.716757,0.182201,-175.602982,190.395233,219.4431,0.080567,-0.376831,-0.337055,0.859016,0.6870627291886848,1.7860652946444469,-0.16417595303051888,-179.99112287031667,191.19647370636466,221.7296636533527
847,2779706606,-0.539662,1.721888,-1.78201,-210.076752,209.173416,257.483521,0.047163,-0.417288,-0.346456,0.838822,-0.9156738269448347,1.6522718903161173,-1.584792980848921,-202.85118731005386,205.51184761892335,260.3488727764488
848,2779723273,-1.862625,0.211758,-2.40723,-198.311935,209.97435,291.767029,0.010174,-0.458069,-0.351159,0.816557,-1.4472460966080982,-0.3508106012581319,-2.621795436682876,-192.06298984876358,210.8170204674591,293.8101494525623
849,2779739940,-2.369104,-3.67031,-2.765355,-162.959732,211.46228,321.116913,-0.027905,-0.498818,-0.348442,0.793094,-1.141023610000349,-4.045018227701239,-2.5264355507931957,-146.88862509868557,208.3951705137443,317.5669274931233
850,2779756607,-2.252114,-8.015314,-0.883339,-82.557854,197.493774,330.577118,-0.061858,-0.537038,-0.334507,0.77193,-1.1758333133294485,-8.179336164120226,-0.9109048092186784,-87.81690626387602,200.24544271108584,326.87806945890094
851,2779773274,-1.055751,-11.428187,2.059188,-28.617374,183.044418,320.799042,-0.091017,-0.572005,-0.314127,0.752235,-2.8688846884026,-11.397108444249348,1.899130317625905,-45.597657620661195,188.28343041741545,319.59871133463173
852,2779789941,-3.419054,-15.09025,3.952691,-30.816885,177.023407,293.821472,-0.117439,-0.603518,-0.295309,0.731282,-6.322239778386823,-13.606101987898423,4.868877299131174,-39.87464401799093,173.4006963297838,295.9615253582903
853,2779806608,-10.038027,-18.58534,6.520285,-69.721893,164.305496,249.740402,-0.142876,-0.629779,-0.283616,0.708896,-9.865730343007765,-16.522594382784483,6.760008868365238,-64.57721912019548,155.35497561546742,255.43924519240576
854,2779823275,-15.27106,-23.159166,8.575264,-103.959282,132.308838,186.45018,-0.166013,-0.648385,-0.280116,0.688171,-11.32484888913381,-22.308121535679074,6.989320625651275,-92.39672451159174,132.77415976318903,194.8365292807966
855,2779839942,-13.374906,-25.447119,7.889124,-97.661163,83.656189,112.693336,-0.182997,-0.658643,-0.281493,0.673403,-10.260847492886489,-30.703318646619614,6.246461437308113,-95.31252121732639,102.46981549176182,112.07377298703767
856,2779856609,-6.15605,-23.325163,5.148721,-48.31588,47.595894,48.55106,-0.190379,-0.663807,-0.283115,0.66556,-8.824158254245642,-37.29539994021469,6.116991900922974,-65.97950042615925,60.12042664162528,14.354431212061337
857,2779873276,-1.299203,-53.672794,2.784186,-70.444862,59.886463,-62.320595,-0.18862,-0.664845,-0.297864,0.65855,-9.9333040197091,-35.96469785258498,7.679763855319381,-24.411549245355793,5.192299791129079,-78.18347891308329
858,2779889943,-25.315039,-43.054501,13.0002,-21.422794,-81.611847,-230.743744,-0.171975,-0.64586,-0.320085,0.671448,-14.364594936006439,-24.743211530498595,10.302635767010889,-3.3588449317763445,-52.836924006266884,-141.2823425028309
859,2779906610,-12.311094,13.720345,9.663004,125.751488,-87.913216,-126.751511,-0.151768,-0.634089,-0.317669,0.688471,-19.669192416295743,-9.212394187132176,12.080064873289917,-20.158191577098226,-95.58010260814001,-162.49492324222905
860,2779923277,-20.998259,7.627193,27.255123,-120.872971,-127.353485,-109.879974,-0.157679,-0.613145,-0.337237,0.696756,-22.102304093448417,1.3927793609835706,11.669830807945452,-58.02265909124076,-107.4802332417542,-148.33815913893184
861,2779939944,-32.048428,-0.296581,-8.9726,-156.24263,-105.372604,-126.263466,-0.163846,-0.592191,-0.362011,0.701014,-19.978534261496126,2.1225921697511527,9.44880688991871,-78.54159790447613,-88.74325366123188,-115.93653805626803
862,2779956611,-12.438147,-12.926537,9.287911,-60.928772,-20.199438,-105.415573,-0.159329,-0.582859,-0.377043,0.701951,-15.481270209939947,-4.025011697883258,6.631287062036739,-57.4347110030547,-56.03585762662652,-80.31167629009835
863,2779973278,-3.554641,-12.925545,7.756147,37.814915,-17.363359,-42.682983,-0.152657,-0.579425,-0.376665,0.706465,-12.948600858964575,-9.99687827880518,3.7212104083973903,-6.3069879199378,-29.15386948024578,-49.93791042624956
864,2779989945,-13.753163,-8.232046,1.488303,105.791756,-32.366116,-26.164719,-0.142747,-0.576762,-0.367513,0.715479,-14.867833238094606,-11.07793484804941,0.49765937777374136,43.042030631684085,-16.579530190750525,-29.23583657066728
865,2780006612,-25.805483,-0.671137,-0.55445,28.89558,-29.44178,-15.455002,-0.140224,-0.57329,-0.365468,0.719803,-19.525799243938465,-7.413715137180436,-2.6856266931860713,71.19721890858675,-13.379018511033324,-19.78707191970566
866,2780023279,-26.786919,-4.204823,-9.963265,47.249767,-8.218651,-15.517015,-0.135031,-0.572384,-0.361921,0.723301,-22.793334672966292,-1.8656394691240334,-4.48889886188353,83.3325097665861,-10.747264459875959,-18.624310813181072
867,2780039946,-18.067793,1.358058,-4.116934,86.254349,7.789149,-21.482151,-0.125105,-0.573553,-0.355042,0.727557,-22.01838865401809,3.021676133121536,-3.921664532662823,93.33593746106911,-5.21499846211401,-18.476489856236928
868,2780056613,-17.484652,3.532501,-0.691966,130.664597,2.042348,-19.501888,-0.111948,-0.574871,-0.3431,0.734357,-17.99635944458766,6.015395461885978,-1.770913346757216,105.12136929163177,0.5476829081682644,-12.713636240615058
869,2780073280,-13.015732,7.383798,1.150337,137.290009,-2.904033,-3.802151,-0.100118,-0.576336,-0.328928,0.741369,-13.581499207229635,6.670367841591185,-0.24075730249768967,112.59997432172472,2.3375512876882176,-1.5568855119971314
870,2780089947,-9.809406,8.502692,0.078986,110.597816,-6.219393,7.635895,-0.091885,-0.577414,-0.316522,0.746975,-10.966968155238781,5.1328708491314945,-1.016823318496729,111.72063274774261,-2.3872728543494204,6.398385090865679
871,2780106614,-11.109518,5.249831,-4.015937,75.71151,-12.924948,11.33826,-0.087274,-0.577357,-0.307447,0.751349,-10.29904106090498,2.536247361992432,-3.7066555693575736,104.7666753262478,-14.661582521945133,-0.46182673338604197
872,2780123281,-12.721667,-5.338658,-7.373521,69.697334,-30.840261,-29.384768,-0.079507,-0.57337,-0.302181,0.757377,-10.421580005778337,0.7006496879276859,-6.184304633963199,91.93584890911336,-34.80613808922667,-28.715714198853444
873,2780139948,-10.939785,-1.278307,-8.291954,87.741989,-65.590599,-82.673843,-0.065872,-0.563268,-0.298884,0.767506,-10.522690007983103,0.6734239893456477,-6.4900440032043285,64.95791901172275,-61.803395138330615,-75.86002155518995
